location_id	address_1	address_2	city	state	zip	county	location_source_value	country_concept_id	country_source_value	latitude	longitude
1							S01013482			57.09528757409077	-2.2694702010029544
2							S01013483			57.10234286832246	-2.27196450585135
3							S01013484			57.09725307144967	-2.2744522107304053
4							S01013485			57.09983585002665	-2.26811683227287
5							S01013486			57.099951083216176	-2.2646020513492884
6							S01013487			57.09892223016279	-2.258256867267157
7							S01013488			57.11019098750634	-2.285543832512197
8							S01013489			57.108472084664236	-2.225189681413734
9							S01013490			57.10493999441554	-2.2406192909366043
10							S01013491			57.110744801780584	-2.2349938230362687
11							S01013492			57.10561652071554	-2.219510328906905
12							S01013493			57.13481031331967	-2.2151723022484724
13							S01013494			57.13752233486746	-2.215683721106204
14							S01013495			57.12344863857043	-2.166633486525117
15							S01013496			57.12211716287191	-2.174686826251092
16							S01013497			57.118077373939	-2.1791925387211872
17							S01013498			57.11588246194729	-2.181295567538598
18							S01013499			57.114771873449165	-2.202606702360122
19							S01013500			57.117187582720376	-2.1974513294389375
20							S01013501			57.11757583368678	-2.207361120771533
21							S01013502			57.11721142244023	-2.18777500060772
22							S01013503			57.12191983811809	-2.146363002426886
23							S01013504			57.120277483869955	-2.1450189399186583
24							S01013505			57.122083577416824	-2.1365868377199893
25							S01013506			57.12626357098935	-2.125172503065499
26							S01013507			57.12363792900948	-2.127756678162417
27							S01013508			57.122562314352436	-2.1341443511479863
28							S01013509			57.129940652278385	-2.122079332643033
29							S01013510			57.1308464966148	-2.1324891161715995
30							S01013511			57.13313599265396	-2.124782470080685
31							S01013512			57.133940821563066	-2.11920133605656
32							S01013513			57.137221417165634	-2.117245693953647
33							S01013514			57.127047736893	-2.1476218420057362
34							S01013515			57.12453697582243	-2.1437306841078
35							S01013516			57.12921091924101	-2.1331110152712354
36							S01013517			57.12732036606485	-2.1369362869622837
37							S01013518			57.13027463987554	-2.145949686743249
38							S01013519			57.133354599805166	-2.154502487924556
39							S01013520			57.12942811226208	-2.1551965457777214
40							S01013521			57.138405597413	-2.1448744296179667
41							S01013522			57.13412716406669	-2.1391253400576193
42							S01013523			57.1341443986341	-2.1476333294831864
43							S01013524			57.14402774307429	-2.1741779029492156
44							S01013525			57.13396726534122	-2.1671099090318076
45							S01013526			57.12297972352711	-2.18090060712366
46							S01013527			57.13569858305689	-2.1621118068071317
47							S01013528			57.143956981276794	-2.152629459695563
48							S01013529			57.1378487374747	-2.1596263276038563
49							S01013530			57.142899405748615	-2.171611391339444
50							S01013531			57.14658144936195	-2.1656955553630453
51							S01013532			57.14726756796071	-2.1560308308145366
52							S01013533			57.14996763305843	-2.151844172118342
53							S01013534			57.15033291550502	-2.1683070167980074
54							S01013535			57.1491752921093	-2.1605341293872344
55							S01013536			57.15015870101405	-2.1773963212657237
56							S01013537			57.15102115993019	-2.1247263642301446
57							S01013538			57.14839491236879	-2.127989886151168
58							S01013539			57.14880446978137	-2.131594127549668
59							S01013540			57.15072469125462	-2.1336503090765397
60							S01013541			57.14889656055109	-2.1459727947598153
61							S01013542			57.1530274802348	-2.1306007300655843
62							S01013543			57.14834732167687	-2.1116449299937137
63							S01013544			57.15010982600944	-2.109501622285628
64							S01013545			57.15188352641326	-2.115126379674925
65							S01013546			57.14960329302263	-2.1135162358545414
66							S01013547			57.1485121184787	-2.1182065025340058
67							S01013548			57.14892195643413	-2.121810647343084
68							S01013549			57.14774387989247	-2.123178501559833
69							S01013550			57.14570624065508	-2.1216184133043745
70							S01013551			57.14556999618555	-2.140539494033363
71							S01013552			57.14531879883771	-2.1318628023736967
72							S01013553			57.143763824721546	-2.1327496501250702
